DATAFLOW,LAST UPDATE,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,EL,2012,64.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,EL,2013,65.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,EL,2014,64.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,EL,2015,64.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,EL,2016,64.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,EL,2017,65.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,EL,2018,65.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,EL,2019,66.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,EL,2020,66.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,EL,2021,66.6,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,ES,2012,65.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,ES,2013,63.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,ES,2014,65.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,ES,2015,64.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,ES,2016,66.5,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,ES,2017,69.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,ES,2018,68.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,ES,2019,70.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,ES,2020,66.3,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,F,HLY_0,ES,2021,62.6,
