DATAFLOW,LAST UPDATE,freq,isco08,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,HU,2020,6364.33,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IE,2012,5889.29,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IE,2013,4966.50,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IE,2014,4616.19,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IE,2015,4247.48,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IE,2016,4092.37,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IE,2017,4019.55,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IE,2018,3881.43,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IE,2019,4028.03,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IE,2020,3931.92,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IS,2012,6545.22,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IS,2013,8094.10,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IS,2014,6177.08,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IS,2015,7876.54,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IS,2016,6329.04,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IS,2017,6867.99,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IS,2018,7348.34,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IS,2019,8794.21,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IT,2012,8973.58,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IT,2013,8982.10,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IT,2014,8707.80,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IT,2015,8097.41,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IT,2016,7548.24,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IT,2017,6637.80,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IT,2018,5938.43,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IT,2019,5694.99,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,IT,2020,5361.13,p
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LT,2012,7583.18,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LT,2013,6752.71,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LT,2014,6835.35,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LT,2015,6102.75,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LT,2016,6208.29,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LT,2017,5189.73,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LT,2018,4855.36,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LT,2019,4901.99,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LT,2020,4753.21,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LV,2012,8693.67,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LV,2013,7426.74,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LV,2014,7120.65,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LV,2015,6179.77,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LV,2016,6123.55,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LV,2017,5763.35,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LV,2018,4502.74,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LV,2019,4252.94,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LV,2020,4186.01,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,LV,2021,4423.42,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,ME,2018,20742.35,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,ME,2019,19438.36,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,ME,2020,18273.71,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,MK,2012,7896.72,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,MK,2018,9066.45,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,MK,2019,6429.39,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,MK,2020,7509.17,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,MT,2012,5454.90,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,MT,2013,4953.10,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,MT,2014,3879.98,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,MT,2015,4083.06,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,MT,2016,4420.93,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,MT,2017,3038.95,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,MT,2018,2955.06,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,MT,2019,2982.61,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,MT,2020,3845.76,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,NL,2012,6783.39,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,NL,2013,6943.98,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,NL,2014,6883.68,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,NL,2015,6830.61,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,NL,2016,6525.02,b
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,NL,2017,6275.20,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,NL,2018,6335.16,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,NL,2019,6620.18,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,NL,2020,6976.60,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,NO,2012,8107.55,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,NO,2013,8788.27,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,NO,2014,9060.37,
