DATAFLOW,LAST UPDATE,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,European Union - 27 countries (from 2020),2017,83.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,European Union - 27 countries (from 2020),2018,83.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,European Union - 27 countries (from 2020),2019,84.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,European Union - 27 countries (from 2020),2020,83.2,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,European Union - 27 countries (from 2020),2021,82.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Finland,2010,83.5,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Finland,2011,83.8,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Finland,2012,83.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Finland,2014,84.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Finland,2015,84.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Finland,2016,84.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Finland,2017,84.5,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Finland,2018,84.5,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Finland,2019,84.8,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Finland,2020,84.8,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Finland,2021,84.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,France,2010,85.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,France,2011,85.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,France,2012,85.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,France,2013,85.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,France,2014,86.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,France,2015,85.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,France,2016,85.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,France,2017,85.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,France,2018,85.8,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,France,2019,85.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,France,2020,85.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,France,2021,85.5,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Croatia,2010,79.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Croatia,2011,80.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Croatia,2012,80.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Croatia,2013,81.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Croatia,2014,81.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Croatia,2015,80.5,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Croatia,2016,81.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Croatia,2017,81.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Croatia,2018,81.5,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Croatia,2019,81.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Croatia,2020,80.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Croatia,2021,79.8,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Hungary,2010,78.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Hungary,2011,78.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Hungary,2012,78.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Hungary,2013,79.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Hungary,2014,79.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Hungary,2015,79.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Hungary,2016,79.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Hungary,2017,79.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Hungary,2018,79.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Hungary,2019,79.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Hungary,2020,79.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Hungary,2021,77.8,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Ireland,2010,83.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Ireland,2011,83.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Ireland,2012,83.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Ireland,2013,83.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Ireland,2014,83.5,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Ireland,2015,83.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Ireland,2016,83.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Ireland,2017,84.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Ireland,2018,84.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Ireland,2019,84.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Ireland,2020,84.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Ireland,2021,84.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Iceland,2010,84.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Iceland,2011,84.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Iceland,2012,84.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Iceland,2013,83.7,
